metric,value
alvo,5
bars,3
stop_loss,1
AnnualReturn_2023,-0.08737138244999065
DrawDown_len,594329
DrawDown_drawdown,8.774741945984013
DrawDown_moneydown,8778.358957099088
DrawDown_max_len,594329
DrawDown_max_drawdown,8.780245903513542
DrawDown_max_moneydown,8783.865183399103
PeriodStats_average,-0.08737138244999065
PeriodStats_stddev,0.0
PeriodStats_positive,0
PeriodStats_negative,1
PeriodStats_nochange,0
PeriodStats_best,-0.08737138244999065
PeriodStats_worst,-0.08737138244999065
Returns_rtot,-0.0914262527183764
Returns_ravg,-9.069165035053705e-06
Returns_rnorm,-9.069123910300812e-06
Returns_rnorm100,-0.0009069123910300812
SQN_sqn,-4.420101876157348
SQN_trades,6586
SharpeRatio_sharperatio,
SharpeRatio_A_sharperatio,
TimeDrawDown_maxdrawdown,8.780245903513542
TimeDrawDown_maxdrawdownperiod,10064
TradeAnalyzer_total_total,6587
TradeAnalyzer_total_open,1
TradeAnalyzer_total_closed,6586
TradeAnalyzer_streak_won_current,0
TradeAnalyzer_streak_won_longest,8
TradeAnalyzer_streak_lost_current,3
TradeAnalyzer_streak_lost_longest,16
TradeAnalyzer_pnl_gross_total,6323.999999999869
TradeAnalyzer_pnl_gross_average,0.9602186456118842
TradeAnalyzer_pnl_net_total,-8736.319167600126
TradeAnalyzer_pnl_net_average,-1.326498507075634
TradeAnalyzer_won_total,2429
TradeAnalyzer_won_pnl_total,33458.52449940035
TradeAnalyzer_won_pnl_average,13.774608686455476
TradeAnalyzer_won_pnl_max,300.6712348
TradeAnalyzer_lost_total,4157
TradeAnalyzer_lost_pnl_total,-42194.84366700046
TradeAnalyzer_lost_pnl_average,-10.15031120206891
TradeAnalyzer_lost_pnl_max,-484.2391306
TradeAnalyzer_long_total,3059
TradeAnalyzer_long_pnl_total,-3381.303234500183
TradeAnalyzer_long_pnl_average,-1.1053622865316062
TradeAnalyzer_long_pnl_won_total,5688.87923430011
TradeAnalyzer_long_pnl_won_average,5.214371433822282
TradeAnalyzer_long_pnl_won_max,36.75254639999782
TradeAnalyzer_long_pnl_lost_total,-9070.182468800314
TradeAnalyzer_long_pnl_lost_average,-4.608832555284713
TradeAnalyzer_long_pnl_lost_max,-29.505343700003635
TradeAnalyzer_long_won,1091
TradeAnalyzer_long_lost,1968
TradeAnalyzer_short_total,3527
TradeAnalyzer_short_pnl_total,-5355.015933099946
TradeAnalyzer_short_pnl_average,-1.5182920139211642
TradeAnalyzer_short_pnl_won_total,27769.645265100222
TradeAnalyzer_short_pnl_won_average,20.75459287376698
TradeAnalyzer_short_pnl_won_max,300.6712348
TradeAnalyzer_short_pnl_lost_total,-33124.66119820014
TradeAnalyzer_short_pnl_lost_average,-15.132325810050316
TradeAnalyzer_short_pnl_lost_max,-484.2391306
TradeAnalyzer_short_won,1338
TradeAnalyzer_short_lost,2189
TradeAnalyzer_len_total,6164
TradeAnalyzer_len_average,0.9359246887336775
TradeAnalyzer_len_max,18
TradeAnalyzer_len_min,1
TradeAnalyzer_len_won_total,2730
TradeAnalyzer_len_won_average,1.1239193083573487
TradeAnalyzer_len_won_max,18
TradeAnalyzer_len_won_min,1
TradeAnalyzer_len_lost_total,3434
TradeAnalyzer_len_lost_average,0.82607649747414
TradeAnalyzer_len_lost_max,17
TradeAnalyzer_len_lost_min,1
TradeAnalyzer_len_long_total,2155
TradeAnalyzer_len_long_average,0.7044785877737822
TradeAnalyzer_len_long_max,18
TradeAnalyzer_len_long_min,1
TradeAnalyzer_len_long_won_total,982
TradeAnalyzer_len_long_won_average,0.9000916590284143
TradeAnalyzer_len_long_won_max,18
TradeAnalyzer_len_long_won_min,1
TradeAnalyzer_len_long_lost_total,1173
TradeAnalyzer_len_long_lost_average,0.5960365853658537
TradeAnalyzer_len_long_lost_max,17
TradeAnalyzer_len_long_lost_min,1
TradeAnalyzer_len_short_total,4009
TradeAnalyzer_len_short_average,1.1366600510348739
TradeAnalyzer_len_short_max,10
TradeAnalyzer_len_short_min,1
TradeAnalyzer_len_short_won_total,1748
TradeAnalyzer_len_short_won_average,1.3064275037369208
TradeAnalyzer_len_short_won_max,10
TradeAnalyzer_len_short_won_min,1
TradeAnalyzer_len_short_lost_total,2261
TradeAnalyzer_len_short_lost_average,1.0328917313841937
TradeAnalyzer_len_short_lost_max,7
TradeAnalyzer_len_short_lost_min,1
VWR_vwr,-0.0005217493599098656
